agent1_type,agent2_type,board_size,iterations,seed,agent1_starts,result,agent1_wins,agent2_wins,draws,time,simulations
RAVE,GRAVE,5,500,42,True,1,1,0,0,2.610999822616577,12000
RAVE,GRAVE,5,500,43,False,1,1,0,0,2.037038803100586,12000
RAVE,GRAVE,5,500,44,True,-1,0,1,0,2.7959938049316406,12000
RAVE,GRAVE,5,500,45,False,-1,0,1,0,3.331043004989624,12000
RAVE,GRAVE,5,500,46,True,-1,0,1,0,2.7799625396728516,12000
RAVE,GRAVE,5,500,47,False,-1,0,1,0,2.0029942989349365,12000
RAVE,GRAVE,5,500,48,True,1,1,0,0,2.879042863845825,12000
RAVE,GRAVE,5,500,49,False,1,1,0,0,2.9310710430145264,12000
RAVE,GRAVE,5,500,50,True,1,1,0,0,2.136932134628296,12000
RAVE,GRAVE,5,500,51,False,-1,0,1,0,3.01995849609375,12000
RAVE,GRAVE,5,500,52,True,-1,0,1,0,2.8830363750457764,12000
RAVE,GRAVE,5,500,53,False,1,1,0,0,2.1059930324554443,12000
RAVE,GRAVE,5,500,54,True,1,1,0,0,3.653960943222046,12000
RAVE,GRAVE,5,500,55,False,-1,0,1,0,2.8640339374542236,12000
RAVE,GRAVE,5,500,56,True,1,1,0,0,2.1699655055999756,12000
RAVE,GRAVE,5,500,57,False,1,1,0,0,3.422006845474243,12000
RAVE,GRAVE,5,500,58,True,1,1,0,0,2.423027276992798,12000
RAVE,GRAVE,5,500,59,False,-1,0,1,0,2.014998435974121,12000
RAVE,GRAVE,5,500,60,True,1,1,0,0,2.3889670372009277,12000
RAVE,GRAVE,5,500,61,False,1,1,0,0,2.5970354080200195,12000
RAVE,GRAVE,5,500,62,True,1,1,0,0,2.0669617652893066,12000
RAVE,GRAVE,5,500,63,False,1,1,0,0,2.794038772583008,12000
RAVE,GRAVE,5,500,64,True,1,1,0,0,3.642036199569702,12000
RAVE,GRAVE,5,500,65,False,1,1,0,0,2.3239307403564453,12000
RAVE,GRAVE,5,500,66,True,1,1,0,0,1.8689942359924316,12000
RAVE,GRAVE,5,500,67,False,1,1,0,0,2.5480029582977295,12000
RAVE,GRAVE,5,500,68,True,1,1,0,0,2.4220120906829834,12000
RAVE,GRAVE,5,500,69,False,1,1,0,0,2.8449864387512207,12000
RAVE,GRAVE,5,500,70,True,-1,0,1,0,1.8030564785003662,12000
RAVE,GRAVE,5,500,71,False,-1,0,1,0,2.204982280731201,12000
RAVE,GRAVE,5,500,72,True,1,1,0,0,1.6660001277923584,12000
RAVE,GRAVE,5,500,73,False,-1,0,1,0,3.9949655532836914,12000
RAVE,GRAVE,5,500,74,True,-1,0,1,0,2.7669897079467773,12000
RAVE,GRAVE,5,500,75,False,1,1,0,0,1.7060372829437256,12000
RAVE,GRAVE,5,500,76,True,-1,0,1,0,2.4130032062530518,12000
RAVE,GRAVE,5,500,77,False,-1,0,1,0,1.847001552581787,12000
RAVE,GRAVE,5,500,78,True,1,1,0,0,2.9619638919830322,12000
RAVE,GRAVE,5,500,79,False,1,1,0,0,2.941042184829712,12000
RAVE,GRAVE,5,500,80,True,1,1,0,0,2.726040840148926,12000
RAVE,GRAVE,5,500,81,False,-1,0,1,0,2.1619620323181152,12000
RAVE,GRAVE,5,500,82,True,1,1,0,0,2.29103422164917,12000
RAVE,GRAVE,5,500,83,False,1,1,0,0,2.115999698638916,12000
RAVE,GRAVE,5,500,84,True,-1,0,1,0,2.9489641189575195,12000
RAVE,GRAVE,5,500,85,False,-1,0,1,0,3.9130003452301025,12000
RAVE,GRAVE,5,500,86,True,-1,0,1,0,5.61301064491272,12000
RAVE,GRAVE,5,500,87,False,1,1,0,0,2.0109872817993164,12000
RAVE,GRAVE,5,500,88,True,-1,0,1,0,4.205002069473267,12000
RAVE,GRAVE,5,500,89,False,1,1,0,0,2.8829991817474365,12000
RAVE,GRAVE,5,500,90,True,-1,0,1,0,2.4850387573242188,12000
RAVE,GRAVE,5,500,91,False,-1,0,1,0,3.5389645099639893,12000
