agent1_type,agent2_type,board_size,iterations,seed,agent1_starts,result,agent1_wins,agent2_wins,draws,time,simulations
UCT,GRAVE,5,50,42,True,-1,0,1,0,0.15103435516357422,1200
UCT,GRAVE,5,50,43,False,-1,0,1,0,0.18000245094299316,1200
UCT,GRAVE,5,50,44,True,1,1,0,0,0.21595978736877441,1200
UCT,GRAVE,5,50,45,False,-1,0,1,0,0.16803932189941406,1200
UCT,GRAVE,5,50,46,True,1,1,0,0,0.28196239471435547,1200
UCT,GRAVE,5,50,47,False,1,1,0,0,0.4220254421234131,1200
UCT,GRAVE,5,50,48,True,1,1,0,0,0.19997549057006836,1200
UCT,GRAVE,5,50,49,False,-1,0,1,0,0.16603708267211914,1200
UCT,GRAVE,5,50,50,True,1,1,0,0,0.22896122932434082,1200
UCT,GRAVE,5,50,51,False,1,1,0,0,0.1829967498779297,1200
UCT,GRAVE,5,50,52,True,-1,0,1,0,0.18404126167297363,1200
UCT,GRAVE,5,50,53,False,1,1,0,0,0.16297101974487305,1200
UCT,GRAVE,5,50,54,True,-1,0,1,0,0.22899460792541504,1200
UCT,GRAVE,5,50,55,False,1,1,0,0,0.26399803161621094,1200
UCT,GRAVE,5,50,56,True,-1,0,1,0,0.18500185012817383,1200
UCT,GRAVE,5,50,57,False,-1,0,1,0,0.284041166305542,1200
UCT,GRAVE,5,50,58,True,-1,0,1,0,0.2509908676147461,1200
UCT,GRAVE,5,50,59,False,1,1,0,0,0.262005090713501,1200
UCT,GRAVE,5,50,60,True,1,1,0,0,0.32999491691589355,1200
UCT,GRAVE,5,50,61,False,1,1,0,0,0.22400927543640137,1200
UCT,GRAVE,5,50,62,True,1,1,0,0,0.2729928493499756,1200
UCT,GRAVE,5,50,63,False,-1,0,1,0,0.27896618843078613,1200
UCT,GRAVE,5,50,64,True,-1,0,1,0,0.198012113571167,1200
UCT,GRAVE,5,50,65,False,-1,0,1,0,0.21503567695617676,1200
UCT,GRAVE,5,50,66,True,-1,0,1,0,0.22899699211120605,1200
UCT,GRAVE,5,50,67,False,-1,0,1,0,0.15899968147277832,1200
UCT,GRAVE,5,50,68,True,-1,0,1,0,0.21296381950378418,1200
UCT,GRAVE,5,50,69,False,1,1,0,0,0.18500256538391113,1200
UCT,GRAVE,5,50,70,True,-1,0,1,0,0.18703007698059082,1200
UCT,GRAVE,5,50,71,False,1,1,0,0,0.166001558303833,1200
UCT,GRAVE,5,50,72,True,-1,0,1,0,0.22000646591186523,1200
UCT,GRAVE,5,50,73,False,-1,0,1,0,0.2609598636627197,1200
UCT,GRAVE,5,50,74,True,-1,0,1,0,0.1979982852935791,1200
UCT,GRAVE,5,50,75,False,-1,0,1,0,0.1820054054260254,1200
UCT,GRAVE,5,50,76,True,1,1,0,0,0.1920325756072998,1200
UCT,GRAVE,5,50,77,False,1,1,0,0,0.19199800491333008,1200
UCT,GRAVE,5,50,78,True,-1,0,1,0,0.22400212287902832,1200
UCT,GRAVE,5,50,79,False,-1,0,1,0,0.23599934577941895,1200
UCT,GRAVE,5,50,80,True,-1,0,1,0,0.21596407890319824,1200
UCT,GRAVE,5,50,81,False,1,1,0,0,0.25800108909606934,1200
UCT,GRAVE,5,50,82,True,-1,0,1,0,0.2049999237060547,1200
UCT,GRAVE,5,50,83,False,1,1,0,0,0.19603681564331055,1200
UCT,GRAVE,5,50,84,True,-1,0,1,0,0.26201772689819336,1200
UCT,GRAVE,5,50,85,False,1,1,0,0,0.14298200607299805,1200
UCT,GRAVE,5,50,86,True,-1,0,1,0,0.1649641990661621,1200
UCT,GRAVE,5,50,87,False,-1,0,1,0,0.1800382137298584,1200
UCT,GRAVE,5,50,88,True,1,1,0,0,0.2129976749420166,1200
UCT,GRAVE,5,50,89,False,-1,0,1,0,0.21000027656555176,1200
UCT,GRAVE,5,50,90,True,1,1,0,0,0.19299817085266113,1200
UCT,GRAVE,5,50,91,False,-1,0,1,0,0.20600461959838867,1200
