agent1_type,agent2_type,board_size,iterations,seed,agent1_starts,result,agent1_wins,agent2_wins,draws,time,simulations
UCT,RAVE,5,50,42,True,-1,0,1,0,0.18396282196044922,1200
UCT,RAVE,5,50,43,False,-1,0,1,0,0.2560079097747803,1200
UCT,RAVE,5,50,44,True,1,1,0,0,0.260988712310791,1200
UCT,RAVE,5,50,45,False,-1,0,1,0,0.1569962501525879,1200
UCT,RAVE,5,50,46,True,1,1,0,0,0.20199990272521973,1200
UCT,RAVE,5,50,47,False,1,1,0,0,0.32700085639953613,1200
UCT,RAVE,5,50,48,True,1,1,0,0,0.4439990520477295,1200
UCT,RAVE,5,50,49,False,-1,0,1,0,0.19704031944274902,1200
UCT,RAVE,5,50,50,True,1,1,0,0,0.32295870780944824,1200
UCT,RAVE,5,50,51,False,1,1,0,0,0.26900458335876465,1200
UCT,RAVE,5,50,52,True,-1,0,1,0,0.2469930648803711,1200
UCT,RAVE,5,50,53,False,1,1,0,0,0.19201016426086426,1200
UCT,RAVE,5,50,54,True,-1,0,1,0,0.3240370750427246,1200
UCT,RAVE,5,50,55,False,1,1,0,0,0.2959589958190918,1200
UCT,RAVE,5,50,56,True,-1,0,1,0,0.18803715705871582,1200
UCT,RAVE,5,50,57,False,-1,0,1,0,0.2709674835205078,1200
UCT,RAVE,5,50,58,True,-1,0,1,0,0.29099202156066895,1200
UCT,RAVE,5,50,59,False,1,1,0,0,0.2839977741241455,1200
UCT,RAVE,5,50,60,True,1,1,0,0,0.3150007724761963,1200
UCT,RAVE,5,50,61,False,1,1,0,0,0.31904006004333496,1200
UCT,RAVE,5,50,62,True,1,1,0,0,0.2509632110595703,1200
UCT,RAVE,5,50,63,False,-1,0,1,0,0.23204755783081055,1200
UCT,RAVE,5,50,64,True,-1,0,1,0,0.19395065307617188,1200
UCT,RAVE,5,50,65,False,-1,0,1,0,0.21000170707702637,1200
UCT,RAVE,5,50,66,True,-1,0,1,0,0.29503679275512695,1200
UCT,RAVE,5,50,67,False,-1,0,1,0,0.1759662628173828,1200
UCT,RAVE,5,50,68,True,-1,0,1,0,0.2420344352722168,1200
UCT,RAVE,5,50,69,False,1,1,0,0,0.23599839210510254,1200
UCT,RAVE,5,50,70,True,-1,0,1,0,0.23796916007995605,1200
UCT,RAVE,5,50,71,False,1,1,0,0,0.455996036529541,1200
UCT,RAVE,5,50,72,True,-1,0,1,0,0.41199827194213867,1200
UCT,RAVE,5,50,73,False,-1,0,1,0,0.6290035247802734,1200
UCT,RAVE,5,50,74,True,-1,0,1,0,0.5929985046386719,1200
UCT,RAVE,5,50,75,False,-1,0,1,0,0.2890019416809082,1200
UCT,RAVE,5,50,76,True,1,1,0,0,0.27503180503845215,1200
UCT,RAVE,5,50,77,False,1,1,0,0,0.2650113105773926,1200
UCT,RAVE,5,50,78,True,-1,0,1,0,0.3609611988067627,1200
UCT,RAVE,5,50,79,False,-1,0,1,0,0.5079934597015381,1200
UCT,RAVE,5,50,80,True,-1,0,1,0,0.5440020561218262,1200
UCT,RAVE,5,50,81,False,1,1,0,0,0.5740013122558594,1200
UCT,RAVE,5,50,82,True,-1,0,1,0,0.3399972915649414,1200
UCT,RAVE,5,50,83,False,1,1,0,0,0.3609955310821533,1200
UCT,RAVE,5,50,84,True,-1,0,1,0,0.4160037040710449,1200
UCT,RAVE,5,50,85,False,1,1,0,0,0.26599907875061035,1200
UCT,RAVE,5,50,86,True,-1,0,1,0,0.3720052242279053,1200
UCT,RAVE,5,50,87,False,-1,0,1,0,0.5919921398162842,1200
UCT,RAVE,5,50,88,True,1,1,0,0,0.48400092124938965,1200
UCT,RAVE,5,50,89,False,-1,0,1,0,0.4669992923736572,1200
UCT,RAVE,5,50,90,True,1,1,0,0,0.3720057010650635,1200
UCT,RAVE,5,50,91,False,-1,0,1,0,0.3679993152618408,1200
