agent1_type,agent2_type,board_size,iterations,seed,result,agent1_wins,agent2_wins,draws,time
RAVE,GRAVE,5,200,42,1,1,0,0,1.08900785446167
RAVE,GRAVE,5,200,43,-1,0,1,0,0.6789975166320801
RAVE,GRAVE,5,200,44,-1,0,1,0,0.7870361804962158
RAVE,GRAVE,5,200,45,-1,0,1,0,0.7829644680023193
RAVE,GRAVE,5,200,46,1,1,0,0,0.6809930801391602
RAVE,GRAVE,5,200,47,1,1,0,0,0.7109487056732178
RAVE,GRAVE,5,200,48,1,1,0,0,1.043039083480835
RAVE,GRAVE,5,200,49,1,1,0,0,0.6589646339416504
RAVE,GRAVE,5,200,50,-1,0,1,0,1.2440359592437744
RAVE,GRAVE,5,200,51,-1,0,1,0,0.9189610481262207
RAVE,GRAVE,5,200,52,1,1,0,0,0.9780399799346924
RAVE,GRAVE,5,200,53,1,1,0,0,0.9299581050872803
RAVE,GRAVE,5,200,54,-1,0,1,0,1.1870031356811523
RAVE,GRAVE,5,200,55,1,1,0,0,0.5689983367919922
RAVE,GRAVE,5,200,56,1,1,0,0,0.6920101642608643
RAVE,GRAVE,5,200,57,-1,0,1,0,0.95603346824646
RAVE,GRAVE,5,200,58,1,1,0,0,0.7159557342529297
RAVE,GRAVE,5,200,59,-1,0,1,0,0.9150049686431885
RAVE,GRAVE,5,200,60,-1,0,1,0,0.7499995231628418
RAVE,GRAVE,5,200,61,-1,0,1,0,0.7829995155334473
RAVE,GRAVE,5,200,62,1,1,0,0,1.0479962825775146
RAVE,GRAVE,5,200,63,-1,0,1,0,1.2760474681854248
RAVE,GRAVE,5,200,64,1,1,0,0,0.8029906749725342
RAVE,GRAVE,5,200,65,1,1,0,0,0.8279693126678467
RAVE,GRAVE,5,200,66,-1,0,1,0,0.7969911098480225
RAVE,GRAVE,5,200,67,1,1,0,0,1.0329999923706055
RAVE,GRAVE,5,200,68,-1,0,1,0,1.3760411739349365
RAVE,GRAVE,5,200,69,1,1,0,0,1.1099839210510254
RAVE,GRAVE,5,200,70,-1,0,1,0,0.7509899139404297
RAVE,GRAVE,5,200,71,-1,0,1,0,0.9969959259033203
RAVE,GRAVE,5,200,72,-1,0,1,0,0.920928955078125
RAVE,GRAVE,5,200,73,1,1,0,0,0.7330036163330078
RAVE,GRAVE,5,200,74,1,1,0,0,0.9709570407867432
RAVE,GRAVE,5,200,75,-1,0,1,0,1.2199997901916504
RAVE,GRAVE,5,200,76,-1,0,1,0,0.8670017719268799
RAVE,GRAVE,5,200,77,1,1,0,0,0.8690018653869629
RAVE,GRAVE,5,200,78,1,1,0,0,0.6769964694976807
RAVE,GRAVE,5,200,79,-1,0,1,0,0.8930089473724365
RAVE,GRAVE,5,200,80,1,1,0,0,0.7850382328033447
RAVE,GRAVE,5,200,81,1,1,0,0,0.9749534130096436
RAVE,GRAVE,5,200,82,1,1,0,0,0.94700026512146
RAVE,GRAVE,5,200,83,1,1,0,0,1.0019993782043457
RAVE,GRAVE,5,200,84,1,1,0,0,0.7710003852844238
RAVE,GRAVE,5,200,85,1,1,0,0,0.634042501449585
RAVE,GRAVE,5,200,86,1,1,0,0,0.9449682235717773
RAVE,GRAVE,5,200,87,-1,0,1,0,0.9909939765930176
RAVE,GRAVE,5,200,88,-1,0,1,0,0.7600002288818359
RAVE,GRAVE,5,200,89,1,1,0,0,1.731006145477295
RAVE,GRAVE,5,200,90,-1,0,1,0,1.3039913177490234
RAVE,GRAVE,5,200,91,-1,0,1,0,0.8700048923492432
