agent1_type,agent2_type,board_size,iterations,seed,result,agent1_wins,agent2_wins,draws,time
UCT,GRAVE,5,200,42,-1,0,1,0,1.0580382347106934
UCT,GRAVE,5,200,43,1,1,0,0,0.9959595203399658
UCT,GRAVE,5,200,44,1,1,0,0,0.5710353851318359
UCT,GRAVE,5,200,45,-1,0,1,0,0.6800038814544678
UCT,GRAVE,5,200,46,1,1,0,0,1.003002405166626
UCT,GRAVE,5,200,47,1,1,0,0,1.2779936790466309
UCT,GRAVE,5,200,48,1,1,0,0,0.9640059471130371
UCT,GRAVE,5,200,49,-1,0,1,0,0.6290004253387451
UCT,GRAVE,5,200,50,1,1,0,0,0.6719937324523926
UCT,GRAVE,5,200,51,1,1,0,0,0.9090003967285156
UCT,GRAVE,5,200,52,1,1,0,0,0.6510393619537354
UCT,GRAVE,5,200,53,1,1,0,0,1.0410022735595703
UCT,GRAVE,5,200,54,1,1,0,0,1.0189595222473145
UCT,GRAVE,5,200,55,-1,0,1,0,0.9430348873138428
UCT,GRAVE,5,200,56,1,1,0,0,0.7170014381408691
UCT,GRAVE,5,200,57,-1,0,1,0,0.6660001277923584
UCT,GRAVE,5,200,58,1,1,0,0,0.9010009765625
UCT,GRAVE,5,200,59,-1,0,1,0,0.8940021991729736
UCT,GRAVE,5,200,60,1,1,0,0,0.8229985237121582
UCT,GRAVE,5,200,61,1,1,0,0,0.8870015144348145
UCT,GRAVE,5,200,62,1,1,0,0,0.7599606513977051
UCT,GRAVE,5,200,63,1,1,0,0,1.0220344066619873
UCT,GRAVE,5,200,64,1,1,0,0,0.7080020904541016
UCT,GRAVE,5,200,65,1,1,0,0,0.8420021533966064
UCT,GRAVE,5,200,66,1,1,0,0,0.49399566650390625
UCT,GRAVE,5,200,67,1,1,0,0,0.6220076084136963
UCT,GRAVE,5,200,68,1,1,0,0,0.922961950302124
UCT,GRAVE,5,200,69,1,1,0,0,0.8879959583282471
UCT,GRAVE,5,200,70,1,1,0,0,0.7480356693267822
UCT,GRAVE,5,200,71,-1,0,1,0,0.7830016613006592
UCT,GRAVE,5,200,72,1,1,0,0,0.948998212814331
UCT,GRAVE,5,200,73,1,1,0,0,0.9340033531188965
UCT,GRAVE,5,200,74,1,1,0,0,0.8879969120025635
UCT,GRAVE,5,200,75,1,1,0,0,0.6789646148681641
UCT,GRAVE,5,200,76,-1,0,1,0,1.0340425968170166
UCT,GRAVE,5,200,77,1,1,0,0,1.1699936389923096
UCT,GRAVE,5,200,78,1,1,0,0,0.9799978733062744
UCT,GRAVE,5,200,79,-1,0,1,0,0.7049739360809326
UCT,GRAVE,5,200,80,-1,0,1,0,1.0340125560760498
UCT,GRAVE,5,200,81,1,1,0,0,0.7979538440704346
UCT,GRAVE,5,200,82,1,1,0,0,0.8720502853393555
UCT,GRAVE,5,200,83,1,1,0,0,0.8299612998962402
UCT,GRAVE,5,200,84,1,1,0,0,0.6650569438934326
UCT,GRAVE,5,200,85,-1,0,1,0,0.8199827671051025
UCT,GRAVE,5,200,86,1,1,0,0,0.7179596424102783
UCT,GRAVE,5,200,87,-1,0,1,0,0.6690433025360107
UCT,GRAVE,5,200,88,-1,0,1,0,1.0769975185394287
UCT,GRAVE,5,200,89,1,1,0,0,0.7399997711181641
UCT,GRAVE,5,200,90,-1,0,1,0,1.1439659595489502
UCT,GRAVE,5,200,91,1,1,0,0,0.7659957408905029
