agent1_type,agent2_type,board_size,iterations,seed,result,agent1_wins,agent2_wins,draws,time
UCT,RAVE,5,200,42,-1,0,1,0,0.6099932193756104
UCT,RAVE,5,200,43,1,1,0,0,0.9830400943756104
UCT,RAVE,5,200,44,-1,0,1,0,0.6329972743988037
UCT,RAVE,5,200,45,1,1,0,0,0.7279996871948242
UCT,RAVE,5,200,46,1,1,0,0,0.6750030517578125
UCT,RAVE,5,200,47,1,1,0,0,0.7749967575073242
UCT,RAVE,5,200,48,-1,0,1,0,0.7680013179779053
UCT,RAVE,5,200,49,1,1,0,0,0.7859992980957031
UCT,RAVE,5,200,50,1,1,0,0,0.6669654846191406
UCT,RAVE,5,200,51,-1,0,1,0,0.7999963760375977
UCT,RAVE,5,200,52,1,1,0,0,0.736037015914917
UCT,RAVE,5,200,53,1,1,0,0,0.778001070022583
UCT,RAVE,5,200,54,1,1,0,0,0.789963960647583
UCT,RAVE,5,200,55,1,1,0,0,0.8700466156005859
UCT,RAVE,5,200,56,-1,0,1,0,0.6029572486877441
UCT,RAVE,5,200,57,1,1,0,0,0.9529953002929688
UCT,RAVE,5,200,58,1,1,0,0,0.7059986591339111
UCT,RAVE,5,200,59,1,1,0,0,0.8819992542266846
UCT,RAVE,5,200,60,1,1,0,0,0.9660394191741943
UCT,RAVE,5,200,61,-1,0,1,0,0.7500038146972656
UCT,RAVE,5,200,62,1,1,0,0,0.9059982299804688
UCT,RAVE,5,200,63,1,1,0,0,0.7429959774017334
UCT,RAVE,5,200,64,1,1,0,0,0.671973705291748
UCT,RAVE,5,200,65,1,1,0,0,1.0070297718048096
UCT,RAVE,5,200,66,1,1,0,0,0.925999641418457
UCT,RAVE,5,200,67,1,1,0,0,0.790001392364502
UCT,RAVE,5,200,68,1,1,0,0,0.813957929611206
UCT,RAVE,5,200,69,1,1,0,0,0.9010446071624756
UCT,RAVE,5,200,70,1,1,0,0,0.727994441986084
UCT,RAVE,5,200,71,1,1,0,0,0.9350018501281738
UCT,RAVE,5,200,72,1,1,0,0,0.8900020122528076
UCT,RAVE,5,200,73,-1,0,1,0,1.2290353775024414
UCT,RAVE,5,200,74,1,1,0,0,0.6449639797210693
UCT,RAVE,5,200,75,1,1,0,0,0.8520352840423584
UCT,RAVE,5,200,76,1,1,0,0,0.8309590816497803
UCT,RAVE,5,200,77,-1,0,1,0,0.6010415554046631
UCT,RAVE,5,200,78,-1,0,1,0,0.6150081157684326
UCT,RAVE,5,200,79,1,1,0,0,0.9309911727905273
UCT,RAVE,5,200,80,-1,0,1,0,0.898021936416626
UCT,RAVE,5,200,81,1,1,0,0,0.9535980224609375
UCT,RAVE,5,200,82,1,1,0,0,1.236034870147705
UCT,RAVE,5,200,83,-1,0,1,0,0.8839051723480225
UCT,RAVE,5,200,84,-1,0,1,0,0.5789985656738281
UCT,RAVE,5,200,85,1,1,0,0,0.6669614315032959
UCT,RAVE,5,200,86,1,1,0,0,0.7970373630523682
UCT,RAVE,5,200,87,-1,0,1,0,0.938002347946167
UCT,RAVE,5,200,88,-1,0,1,0,0.7749619483947754
UCT,RAVE,5,200,89,1,1,0,0,0.5220355987548828
UCT,RAVE,5,200,90,-1,0,1,0,0.6909646987915039
UCT,RAVE,5,200,91,-1,0,1,0,0.6480352878570557
